code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
US.QQQ,纳指100ETF-Invesco QQQ Trust,2026-04-22 09:35:00,650.15,648.8,650.46,648.5465,0.0,0.0,1025991,666542581.197,0.6937438890009643,644.33
US.QQQ,纳指100ETF-Invesco QQQ Trust,2026-04-22 09:40:00,648.81,649.0599,649.4501,648.66,0.0,0.0,363257,235759088.933,0.04005856966708015,648.8
US.QQQ,纳指100ETF-Invesco QQQ Trust,2026-04-22 09:45:00,649.06,649.48,649.68,648.95,0.0,0.0,374057,242870611.812,0.06472438060031865,649.0599
US.QQQ,纳指100ETF-Invesco QQQ Trust,2026-04-22 09:50:00,649.47,649.1301,650.12,648.811,0.0,0.0,606838,394155280.278,-0.05387386832543694,649.48
US.QQQ,纳指100ETF-Invesco QQQ Trust,2026-04-22 09:55:00,649.13,649.73,649.73,648.52,0.0,0.0,352641,228906791.842,0.09241598872091247,649.1301
US.QQQ,纳指100ETF-Invesco QQQ Trust,2026-04-22 10:00:00,649.73,649.7501,649.77,649.08,0.0,0.0,551082,356808224.852,0.0030935927231244835,649.73
US.QQQ,纳指100ETF-Invesco QQQ Trust,2026-04-22 10:05:00,649.75,650.2799,650.59,649.66,0.0,0.0,807676,525181136.304,0.08153904093281754,649.7501
US.QQQ,纳指100ETF-Invesco QQQ Trust,2026-04-22 10:10:00,650.26,650.33,650.76,649.47,0.0,0.0,936506,608753731.191,0.007704374685430552,650.2799
US.QQQ,纳指100ETF-Invesco QQQ Trust,2026-04-22 10:15:00,650.35,651.14,651.19,650.34,0.0,0.0,434955,283014474.641,0.1245521504466879,650.33
US.QQQ,纳指100ETF-Invesco QQQ Trust,2026-04-22 10:20:00,651.14,651.7096,651.72,651.14,0.0,0.0,744484,484242828.359,0.08747734742145111,651.14
US.QQQ,纳指100ETF-Invesco QQQ Trust,2026-04-22 10:25:00,651.705,652.24,652.4699,651.585,0.0,0.0,644047,419992944.767,0.08138594245043897,651.7096
US.QQQ,纳指100ETF-Invesco QQQ Trust,2026-04-22 10:30:00,652.22,652.76,652.79,652.1201,0.0,0.0,447266,291849575.506,0.07972525450754045,652.24
US.QQQ,纳指100ETF-Invesco QQQ Trust,2026-04-22 10:35:00,652.75,652.16,652.91,651.77,0.0,0.0,968125,629877016.914,-0.0919173968993233,652.76
US.QQQ,纳指100ETF-Invesco QQQ Trust,2026-04-22 10:40:00,652.2,652.92,653.06,651.68,0.0,0.0,1076465,702144460.272,0.11653581943081315,652.16
US.QQQ,纳指100ETF-Invesco QQQ Trust,2026-04-22 10:45:00,652.9201,652.26,653.18,652.07,0.0,0.0,470095,306778851.388,-0.10108435949273543,652.92
US.QQQ,纳指100ETF-Invesco QQQ Trust,2026-04-22 10:50:00,652.26,652.5,652.7499,652.225,0.0,0.0,404248,263777485.619,0.036795143041119964,652.26
US.QQQ,纳指100ETF-Invesco QQQ Trust,2026-04-22 10:55:00,652.49,652.28,652.78,651.715,0.0,0.0,392949,256221894.612,-0.03371647509578962,652.5
US.QQQ,纳指100ETF-Invesco QQQ Trust,2026-04-22 11:00:00,652.22,652.35,652.44,651.87,0.0,0.0,319356,207442283.421,0.010731587661748027,652.28
US.QQQ,纳指100ETF-Invesco QQQ Trust,2026-04-22 11:05:00,652.34,651.7899,652.46,651.61,0.0,0.0,382383,249258301.558,-0.08585881811911306,652.35
US.QQQ,纳指100ETF-Invesco QQQ Trust,2026-04-22 11:10:00,651.77,652.28,652.655,651.67,0.0,0.0,675391,440333843.781,0.07519294177463996,651.7899
