code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
US.NVDA,英伟达,2018-04-23 09:35:00,229.43,230.33,230.821,228.5,0.0,0.0,393553,90360195.742,0.7083205806479842,228.71
US.NVDA,英伟达,2018-04-23 09:40:00,230.28,230.333,231.5,229.645,0.0,0.0,359530,82933684.248,0.0013024790517891297,230.33
US.NVDA,英伟达,2018-04-23 09:45:00,230.38,229.515,230.38,229.34,0.0,0.0,191394,43997955.014,-0.3551379958581758,230.333
US.NVDA,英伟达,2018-04-23 09:50:00,229.434,228.9,229.89,228.78,0.0,0.0,140392,32196386.501,-0.2679563427226895,229.515
US.NVDA,英伟达,2018-04-23 09:55:00,228.95,228.06,228.95,227.651,0.0,0.0,237583,54206532.428,-0.3669724770642217,228.9
US.NVDA,英伟达,2018-04-23 10:00:00,228.06,229.06,229.29,228.06,0.0,0.0,185532,42442621.862,0.4384811014645269,228.06
US.NVDA,英伟达,2018-04-23 10:05:00,229.11,228.1,229.205,227.97,0.0,0.0,125755,28733453.429,-0.4191041648476416,229.06
US.NVDA,英伟达,2018-04-23 10:10:00,228.02,227.892,228.435,227.402,0.0,0.0,159689,36383398.291,-0.0911880754055232,228.1
US.NVDA,英伟达,2018-04-23 10:15:00,227.96,228.23,228.48,227.8,0.0,0.0,112642,25705955.619,0.1483158689203631,227.892
US.NVDA,英伟达,2018-04-23 10:20:00,228.2,228.38,228.69,228.07,0.0,0.0,109541,25022737.649,0.06572317399115178,228.23
US.NVDA,英伟达,2018-04-23 10:25:00,228.41,229.0,229.12,228.37,0.0,0.0,126332,28910178.739,0.2714773622909207,228.38
US.NVDA,英伟达,2018-04-23 10:30:00,229.0,229.19,229.355,228.88,0.0,0.0,130692,29943382.065,0.0829694323144095,229.0
US.NVDA,英伟达,2018-04-23 10:35:00,229.22,229.245,229.437,228.83,0.0,0.0,118914,27249643.502,0.02399755661242062,229.19
US.NVDA,英伟达,2018-04-23 10:40:00,229.267,228.843,229.267,228.221,0.0,0.0,112272,25672620.038,-0.17535824118302046,229.245
US.NVDA,英伟达,2018-04-23 10:45:00,228.867,228.944,228.944,228.5,0.0,0.0,57211,13084493.078,0.04413506202942589,228.843
US.NVDA,英伟达,2018-04-23 10:50:00,229.0,229.42,229.75,228.94,0.0,0.0,117239,26899590.63,0.2079111048990142,228.944
US.NVDA,英伟达,2018-04-23 10:55:00,229.51,229.44,229.75,229.32,0.0,0.0,104645,24018846.33,0.00871763577718169,229.42
US.NVDA,英伟达,2018-04-23 11:00:00,229.45,229.55,229.72,229.33,0.0,0.0,56748,13026069.069,0.047942817294287676,229.44
US.NVDA,英伟达,2018-04-23 11:05:00,229.48,229.584,229.81,229.3,0.0,0.0,82707,18989686.246,0.014811587889345161,229.55
